ja,en
ゴール,goal
コック,kok
コップ,kop
コピー（する）,copy
コマーシャル,commercial
コミュニケーション,communication
ゴム,gom
コメント,comment
コレクション,collection
コンクール,concours
コンクリート,concrete
コンサート,concert
コンセント,concentric plug
コンタクト[レンズ],contact lens
コンテスト,contest
コントラスト,contrast
コントロール,control
コンパス,kompas
サイクル,cycle
サイズ,size
サイレン,siren
サイン,sign
サークル,circle
サービス,service
サボる,sabotage
サラダ,salad
サラリーマン,salaried man
サンキュー,thank you
サンタクロース,Santa Claus
サンダル,sandal
サンドイッチ,sandwich
サンプル,sample
シーズン,season
シーツ,sheet
ジーパン,jeans+pants
ジーンズ,jeans
システム,system
シック,chic
シナリオ,scenario
ジャズ,jazz
シャツ,shirt
シャッター,shutter
ジャム,jam
ジャーナリスト,journalist
シャワー,shower
ジャンパー,jumper
ジャンプ,jump
ジャンボ,jumbo
ジャンル,genre
ジュース,juice/deuce
ショック,shock
ショップ,shop
ショー,show
シリーズ,series
スイッチ,switch
スカート,skirt
スカーフ,scarf
スキー,ski
スクール,school
スクリーン,screen
スケート,skate
スケジュール,schedule
スーツ,suit
スーツケース,suitcase
スープ,soup
スタイル,style
スタジオ,studio
スター,star
スタート,start
スタンド,stand
スチーム,steam
スチュワーデス,stewardess
ステーキ,steak
ステージ,stage
ステレオ,stereo
スト,strike
ストッキング,stocking
ストップ,stop
ストーブ,stove
ストライキ,strike
ストレス,stress
ストロボ,strobo
ストロー,straw
スピーカー,speaker
スピーチ,speach
スプーン,spoon
スプリング,spring
スペース,space
スポーツ,sports
スポーツカー,sports car
ズボン,jupon
スマート,smart
スライド,slide
スラックス,slacks
スリッパ,slipper
セクション,section
セーター,sweater
セール,sale
セックス,sex
セット,set
ゼミ,Seminar
セメント,cement
ゼリー,jelly
セレモニー,ceremony
ゼロ,zero
センス,sense
センター,center
センチ（メートル）,centimètre
ソックス,socks
ソファー,sofa
ソフト,soft
ソロ,solo
タイトル,title
タイピスト,typist
タイプ,type
タイプライター,typewriter
タイマー,timer
タイミング,timing
タイム,time
タイムリー,timely
タイヤ,tire
ダイヤモンド,diamond
ダイヤル,dial
タイル,tile
ダウン,down
タオル,towel
タクシー,taxi
ダース,dozen
ダブる,double
ダブル［名］,double
ダム,dam
タレント,talent
タワー,tower
ダンス,dance
ダンプ,dump
チェンジ,change
チーズ,cheese
チーム,team
チームワーク,teamwork
チャイム,chime
チャンス,chance
チャンネル,channel
チョーク,chalk
テキスト,text
デコレーション,decoration
デザイン,design
デザート,dessert
テスト,test
デッサン,dessin
データ,data
デート,date
テープ,tape
テーブル,table
テープレコーダー,tape recorder
テーマ,Thema
テニス,tennis
テニスコート,tennis court
デパート,department store
デモ,demonstration
デモンストレーション,demonstration
テレックス,telex
テレビ,television
テント,tent
テンポ,tempo
ドア,door
トイレ,toilet
トップ,top
トーン,tone
ドライ,dry
ドライクリーニング,dry cleaning
ドライバー,driver
ドライブ,drive
ドライブイン,drive-in
トラブル,trouble
ドラマ,drama
トランジスター,transistor
トランプ,trump
ドリル,drill
ドレス,dress
トレーニング,training
トン,ton
トンネル,tunnel
ナイター,night
ナイフ,knife
ナイロン,nylon
ナプキン,napkin
ナンセンス,nonsense
ナンバー,number
ニュアンス,nuance
ニュー,new
ニュース,news
ネガ,negative
ネクタイ,necktie
ネックレス,necklace
ノイローゼ,Neurose
ノック,knock
ノート,note
バイオリン,violin
ハイキング,hiking
バイバイ,bye-bye
パイプ,pipe
パイロット,pilot
バケツ,bucket
パジャマ,pajamas
バス,bath
パス,pass
パスポート,passport
パソコン,personal computer
バター,butter
パターン,pattern
パチンコ,pachinko
バッジ,badge
バッテリー,battery
バット,bat
パトカー,patrol car
パパ,papa
バー(bar),bar
パーセント,percent
パーティー,party
パート（タイム）,part time
バランス,balance
バン,van
パン,pão
ハンガー,hanger
ハンカチ,handkerchief
ハンサム,handsome
パンツ,pants
ハンドバッグ,handbag
ハンドル,handle
ハンバーグ,Hamburg steak
ピアノ,piano
ピクニック,picnic
ビジネス,business
ピストル,pistol
ビタミン,Vitamin
ビデオ,video
ビニール,vinyl
ビール,bier
ビル,building
ビルディング,building
ピン,pin
ピンク,pink
ヒント,hint
ファイト,fight
ファイル,file
ファスナー,fastener
ファン,fan
フィルター,filter
フィルム,film
フォーク,fork
フォーム,form
ブザー,buzzer
ブーツ,boots
ブーム,boom
プール,pool
フライパン,frypan
ブラウス,blouse
ブラシ,brush
プラス,plus
プラスチック,plastics
プラットホーム,platform
プラン,plan
フリー,free
プリント,print
ブルー,blue
プレゼント,present
ブレーキ,brake
プログラム,program
ブローチ,broach
フロント,front
ペア,pair
ベストセラー,best-seller
ベッド,bed
ペット,pet
ベテラン,veteran
ページ,page
ベース,base
ヘリコプター,helicopter
ベル,bell
ベルト,belt
ペン,pen
ペンキ,pek
ベンチ,bench
ペンチ,pinchers
ボイコット,boycott
ポイント,point
ポケット,pocket
ポジション,position
ポスター,poster
ポスト,post
ポット,pot
ホテル,hotel
ボーイ,boy
ホース,hoos
ボート,boat
ボーナス,bonus
ホーム,home
ボールペン,ball pen
ポンプ,pomp
マイク,microphone
マイクロフォン,microphone
マイナス,minus
マスク,mask
マスコミ,mass communication
マスター,master
マッサージ,massage
マッチ,match
マフラー,muffler
ママ,mama
マーク,mark
マーケット,market
マラソン,marathon
マンション,mansion
ミシン,sewing machine
ミスプリント,misprint
ミュージック,music
ミルク,milk
ムード,mood
メッセージ,message
メディア,media
メニュー,menu
メーカー,maker
メーター,meter
メートル,mètre
メモ,memo
メロディー,melody
メンバー,member
モダン,modern
モデル,model
モニター,monitor
モノレール,monorail
モーター,motor
モーテル,motel
ヤング,young
ユニーク,unique
ユニフォーム,uniform
ユーモア,humor
ヨット,yacht
ヨーロッパ,Europa
ライス,rice
ライバル,rival
ラケット,racket
ラジオ,radio
ラジカセ,radio cassette recorder
ラッシュアワー,rush hour
ラベル,label
ランチ,lunch
ランニング,running
ランプ,lamp
リズム,rhythm
リットル,litre
リボン,ribbon
リード,lead
ルーズ,loose
ルール,rule
レインコート,rain coat
レギュラー,regular
レクリエーション,recreation
レコード,record
レジ,register
レジャー,leisure
レストラン,restaurant
レッスン,lesson
レディー,lady
レベル,level
レンジ,range
レンズ,lens
レンタカー,rent-a-car
レントゲン,Röntgen
ロケット,rocket
ロッカー,locker
ロビー,lobby
ロープ,rope
ロープウエイ,ropeway
ローマじ（ローマ字）,Roma
ワイシャツ,white shirt
ワイン,wine
ワット,watt
ワープロ,word processor
ワンピース,one-piece
アーカイブ,archive
アーケード,arcade
アーティスト,artist
アート,art
アーバン,urban
アイスピック,ice pick
アイテム,item
アイドリングストップ,idling stop
アイドル,idol
アウトソーシング,outsourcing
アウトドア,outdoor
アウトレット,outlet
アカウント,account
アカデミズム,academic
アカデミック,academism
アクシデント,accident
アクション,action
アクセス,access
アジェンダ,agenda
アセスメント,assessment
アタック,attack
アタッチメント,attachment
アダルト,adult
アットホーム,at home
アップデート,update
アドバイス,advice
アドバルーン,advertising baloon
アトピー,atopy
アドホック,ad hoc
アトラクション,attraction
アトリエ,atelier
アドリブ,ad libitum
アドレス,address
アドレナリン,adrenalin
アナーキー,anarchy
アナリスト,analyst
アナル,anal
アナログ,analog
アナロジー,analogy
アニサキス,Anisakis
アバウト,about
アバンギャルド,avantgarde
アピール,appeal
アフィリエイト,affiliate
アフター〜,after
アプリ（ケーション）,application
アプリオリ,a priori
アベレージ,average
アミューズメント,amusement
アメニティー,amenity
アラーム,alarm
アラカルト,à la carte
アリーナ,arena
アルファベット,alphabet
アレルギー,allergy
アレンジ,arrange
アロマテラピー,aromatherapy
アン〜,un
アンカー,anchor
アングル,angle
アングロサクソン,Anglo Saxon
アンチ〜,anti
アンティーク,antique
アンパイヤ,umpire
アンペア,ampere
アンモニア,ammono
イーブン,even
イエローカード,yellow card
イオン,minus ion
〜イズム,ism
イタリアン,italian
イデオロギー,Ideologie
イニシアチブ,initiative
イノベーション,innovation
イベント,event
イメチェン,image change
イヤホン,earphone
イリュージョン,illusion
イルミネーション,illumination
イレブン,eleven
インキュベーション,incubation
インキュベーター,incubator
インサイダー,insider
インスタント,instant
インストラクター,instructor
インスパイア,inspire
インスピレーション,inspiration
インセンティブ,incentive
インターバル,interval
インターンシップ,internship
インタラクティブ,interactive
インデックス,index
インテリア,interior
インテリジェンス,intelligence
インパクト,impact
インフォームドコンセント,informed consent
インプット,input
インフラ,infrastructure
インポ（テンツ）,impotenz
インポート,import
ウインカー,winker
ウインク,wink
ウインター,winter
ウインド,wind
ウインドウ,window
ウエートトレーニング,weight training
ウェザー,weather
ウエスト,waist
ウエディング,wedding
ウェブ,web
ウォーキング,walking
ウォーター,water
ウォーターフロント,waterfront
ウォーミングアップ,warming up
ウォッチ,watch
〜ウォッチャー,watcher
ウクレレ,ukulele
ウルトラ〜,ultra
エア,air
エアポート,airport
エアポケット,air pocket
エイズ,AIDS
エイト,eight
エイリアン,alien
エージェント,agent
エース,ace
エキサイト,excite
エキス,extract
エキストラ,extra
エキスパート,expert
エキセントリック,eccentric
エキゾチック,exotic
エクササイズ,exercise
エクスタシー,ecstasy
エグゼクティブ,executive
エクセレント,excellent
エコー,eco
エスケープ,escape
エスプリ,esprit
エターナル,eternal
エッセンス,essence
エトセトラ,et cetra
エピソード,episode
エピローグ,epilogue
エマージェンシー,emergency
エメラルド,emerald
エラー,error
エリア,area
エリート,élite
エレクトロニクス,electronics
エンジョイ,enjoy
エントランス,entrance
エントリー,entry
エンドレス,endless
エンブレム,emblem
オーガナイザー,organizer
オーガニック,organic
オークション,auction
オーダー,order
オードブル,hors-d'oevre
オーナー,owner
オープナー,opener
オーブン,oven
オーブントースター／トースター,oven toaster
オーラ,aura
オール,all ; oar
オールド〜,old
オーロラ,aurora
オカルト,occult
オクターブ,octave
オタク,お宅
オナニー,Onanie
オピニオンリーダー,opinion leader
オフ,off
オファー,offer
オフィシャル,official
オブザーバー,observer
オプション,option
オフタイム,off-time
オフレコ,off the record
オペラ,opéra
オン,on
オンエア,on-air
オンデマンド,on demand
オンパレード,on parade
〜オンリー,only
カー,car
ガーゼ,Gaze
ガーデン,garden
ガーデニング,gardening
ガード,guard
カードリーダー,card reader
カートリッジ,cartridge
ガードレール,guardrail
カーニバル,carnival
ガイダンス,guidance
ガイドライン,guideline
カウンセラー,counselor
カウンセリング,counseling
カウンター,counter
カウンターパート,counter part
カシミヤ,cashmere
カジュアル,casual
カタログ,catalog
カッター,cutter
ガッツ,guts
カップル,couple
カヌー,canoe
ガバナンス,governance
カフェ,café
カフェイン,caffeine
カプセル,capsule
ガムテープ,gum tape
カルキ,kalk
カルシウム,calcium
カルチャー,culture
カルテル,cartel
カルト,cult
カントリー,country
カンパ,kampaniya
ギア,gear
キー,key
キープ,keep
キーボード,keyboard
キーワード,keyword
ギガ,giga
キック,kick
キックバック,kickback
キッズ,kids
キッチン,kitchen
ギフト,gift
ギャグ,gag
キャスター,caster
キャスティングボート,casting vote
キャッシュ,cash
キャッシュカード,cash card
キャッシュバック,cash back
ギャップ,gap
キャピタルゲイン,capital gain
ギャラリー,gallary
ギャル,gal
キャンセル,cancel
キャンペーン,campaign
キュート,cute
〜キラー,killer
キリスト（教）,christo
キング,king
クイック,quick
クール,cool
クエスチョン,question
クオリア,qualia
クッキング,cooking
クッション,cushion
グッズ,goods
グッド,good
クライアント,client
クラクション,klaxon
グラス,glass ; grass
クラスター,cluster
クラスメート,class mate
クラッカー,cracker
クラッチ,crutch
グラビア,gravure
クラブ,club
グラフ,graph
グラフィック,graphic
グランド,ground
グランドデザイン,grand design
グランプリ,grand prix
クリスタル,crystall
クリスチャン,christian
クリック,click
グリッド,grid
クリップ,clip
クリニック,clinic
グリル,grill
クルーザー,cruiser
グルメ,gourmet
グレード,grade
クレーム,claim
クレジットカード,credit card
クレバス,crevasse
クレムリン,Kremlin
グロ（テスク）,grotesque
グローバル,global
クロール,crawl
クローン,clone
グロス,gross
ケア,care
ゲイ,gay
ゲイン,gain
ケース,case
ケースワーク,casework
ケースワーカー,caseworker
ケータリングサービス,catering service
ゲート,gate
ゲット,get
ゲノム,Genome
ケミカル,chemical
ゲレンデ,Gelände
ケロイド,Keloid
コア,core
コイン,coin
コインランドリー,coin laundry
コースター,coaster
ゴースト,ghost
コーディネート,coordinate
コーディネーター,coordinator
コーポラティブハウス,cooperative house
コーポレーション,corporation
コーラ,cola
コール,call
ゴールデンウイーク,golden week
コールド,cold
ゴールド,gold
ゴールデン,golden
コカイン,cocaine
ゴシップ,gossip
コスト,cost
コストパフォーマンス,cost performance
コテージ,cottage
コピー,copy
コマース,commerce
コマンド,command
コミカル,comical
コミケ,comic market
コミック,comic
コミュニケ,communiqué
コモン〜,common
コラム,column
コリアン,Korean
コルク,kurk
ゴルフ,golf
コレステロール,cholesterol
コロニー,colony
コンサルタント,consultant
コンシューマー,consumer
コンスタント,constant
コンセプト,concept
コンセンサス,consensus
コンソーシアム,consortium
コンディション,condition
コンティニュー,continue
コンテナ,container
コンテンツ,contents
コンドーム,condom
コンパ,company
コンパクト,compact
コンプライアンス,compliance
コンプレックス,complex
コンベンション,convention
サーキュレーション,circulation
サーチ,search
サーバ,server
サーフィン,surfing
サーベイランス,surveillance
サーベル,sabel
サイエンス,science
サイクリング,cycling
サイクロン,cyclone
サイコ,psycho
サイト,site
サイド,side
サイボーグ,cyborg
サイレント,silent
サウンド,sound
サッカー,soccer
サテライト,satellite
サド,sado
サディズム,sadism
サナトリウム,sanatorium
サニタリウム,sanitarium
サバンナ,savanna
サブ〜,sub
サファイア,sapphire
サプライ,supply
サブリミナル,subliminal
サポート,support
サマー,summer
サマリー,summary
サミット,sammit
サラブレッド,throughbred
サロン,salon
サワー,sour
サンド,sand
シークレット,secret
シーズ,seeds
シースルー,see-through
シード,seed
シーラカンス,coelacanth
シーリング,ceiling
シール,seal
シールド,shield
シーン,scene
シェア,share
シェア（リング）,sharing
ジェット,jet
ジェネレーション,generation
シェフ,chef
シェルター,shelter
ジェンダー,gender
ジグソーパズル,jigsaw puzzle
システムキッチン,system kitchen
シチュエーション,situation
シックス,six
ジッパー,zipper
シティ,city
シナジー,synergy
シニア,senior
シニカル,cynical
シネマ,cinéma
ジプシー,gupsy
シフト,shift
ジム,gym
ジャー,jar
ジャーナリズム,journalism
ジャーナル,journal
シャープ,sharp
シャーベット,sherbet
ジャイアント,giant
ジャグリング,juggling
ジャスト,just
ジャッジ,judge
シャトルバス,shuttle bus
シャベル,shovel
ジャンクション,junction
ジャングル,jungle
シャンソン,chanson
シャンプー,shampoo
ジューシー,juicy
シューズ,shoes
シュート,shoot
ジュエリー,jewelry
シュガー,sugar
ジュニア,junior
シュノーケル,schnorkel
シュレッダー,shredder
ジョイント,joint
ジョーク,joke
ショート,short
ジョギング,jogging
ショッキング,shocking
ショッピング,shopping
シラバス,syllabus
シルエット,silhouette
シルク,silk
シルバー,silver
ジン,gin
シンク,sink
ジンクス,jinx
シンクタンク,think tank
シングル,single
シンドローム,syndrom
シンナー,thinner
シンプル,simple
シンポジウム,symposium
シンメトリー,symmetry
スイーツ,sweets
スーパー,super
スーパーバイザー,supervisor
スカイダイビング,sky diving
スカウト,scout
スキーム,scheme
スキャン,scan
スキャンダル,scandal
スキル,skill
スクーター,scooter
スクープ,scoop
スクーリング,schooling
スクラッチ,scratch
スクリーニング,screening
スクリプト,script
スクリュー,screw
スケール,scale
スケッチ,sketch
スコア,score
スコープ,scope
スコップ,schop
スタジアム,stadium
スタッフ,staff
スタミナ,stamina
スタンス,stance
スタンダード,standard
スタンバイ,standby
スタンプ,stamp
ステイ,stay
ステッカー,sticker
ステッキ,stick
ステップ,step
ステレオタイプ,stereotype
ステロイド,steroid
ステンレス,stainless
ストイック,stoic
ストック,stock
ストックオプション,stock option
ストックヤード,stockyard
ストライド,stride
ストライプ,stripe
ストラップ,strap
ストレート,straight
ストレッチ,stretch
ストレッチャー,stretcher
スナップ,snap
スニーカー,sneaker
スパイ,spy
スパイス,spice
スパイシー,spicy
スパイラル,spiral
スパン,span
スピード,speed
スピリット,split
スピン,spin
スプレー,spray
スペシャリスト,specialist
スペシャル,special
スペル,spell
スポイル,spoil
スポーツドリンク,sports drink
〜スポット,spot
スポットライト,spot light
スポンサー,sponsor
スモッグ,smog
スラング,slang
スリー,three
スリップ,slip
スリム,slim
スロープ,slope
スローフード,slow food
スロット,slot machine
スワップ,swap
セーブ,save
セーフガード,safeguard
セールス,sales
セオリー,theory
セカンドオピニオン,second opinion
セクシー,sexy
セグメント,segment
セッション,session
ゼネコン,general contractor
セパレート,separate
セピア（色）,sepia
セブン,seven
セミ〜,semi
〜セラピー,therapy
セル,cell
セルロイド,celluloid
セレクション,selection
ゼロエミッション,zero-emission
センサー,sensor
センサス,census
センセーショナル,sensational
セントラル,central
ソーシャル,social
ソーダ,soda
ソープ,soap
ソーラー,solar
ゾーン,zone
ソケット,socket
ソフィスティケート,sophisticate
ソフトランディング,soft landing
ソムリエ,sommelier
ソリューション,solution
ゾンビ,zombi
ダークホース,dark horse
ターゲット,target
ターボ,turbo
ターミナル,terminal
ターム,term
ターン,turn
ダイエット,diet
ダイオード,diode
ダイジェスト,digest
タイト,tight
ダイナマイト,dynamite
ダイナミック,dynamic
ダイナミズム,dynamism
ダイニングキッチン,dining kitchen
タイムラグ,time lag
ダイレクト,direct
ダウ（平均）,Dow
ダウンロード,download
タキシード,tuxedo
タスク,task
タスクフォース,task force
ダスト,dust
タックス,tax
ダッシュ,dash
タッチ,touch
タップ,tap
タブー,taboo
タブレット,tablet
ダフ屋,札屋
ダミー,dummy
ダメージ,damage
タンク,tank
タンバリン,tambourine
ダンピング,dumping
チーフ,chief
チェーン,chain
チェック,check
チェックアウト,check out
チェックイン, check in
チキン,chicken
チケット,ticket
〜チック,tic
チップ,chip/tip
チャージ,charge
チャート,chart
チャイルド,child
チルドレン,children
チャット,chat
チャレンジ,challenge
チャレンジャー,challenger
チャンピオン,champion
チューター,tutor
チューナー,tuner
チューブ,tube
チョイス,choice
チルド,chilled
ツアー,tour
ツイン,twin
ツー,two
ツール,tool
ディーゼル,Diesel
ディープ,deep
ディーラー,dealer
ディスカウント,discount
ディスク,"disc,disk"
ディナー,dinner
ディベート,debate
ディレクター,director
ディレッタント,dilettante
〜デー,day
テーマパーク,thema park
テキーラ,tequila
テクノロジー,technology
デザイナー,designer
デジタル,digital
デスク,desk
デスクトップ,desktop
デッド〜,dead
デッドヒート,dead heat
テナント,tenant
デニム,denim
デバイス,device
デビットカード,debit card
デビュー,début
デポジット,deposit
テラス,terrasse
デリカ,Delicatessen
デリカシー,delicacy
デリケート,delicate
テリトリー,teritory
デリバティブ,derivative
デリバリー,delivery
デルタ,delta
テレパシー,telepathy
テレビ（ジョン）,television
テロ（リズム）,terrorism
テロリスト,terrorist
テン,ten
テンション,tension
トーク,talk
トータル,total
トーナメント,tournament
ドーピング,doping
ドーム,dome
ドキュメント,document
ドキュメンタリー,documentary
ドクター,doctor
ドクトリン,doctrine
ドグマ,dogma
ドッキング,docking
ドック,dock
ドット,dot
トップダウン,top down
ドナー,donor
トピック,topic
ドメスティック,domestic
トライ,try
トライアル,trial
トライアングル,triangle
ドライヤー,dryer
トラウマ,Trauma
トラクター,tractor
ドラッグ,drug
ドラッグストア,drugstore
トラップ,trap
トラディショナル,traditional
トラベル,travel
トランク,trunk
トランクス,trunks
ドリーム,dream
トリオ,trio
トリック,trick
トリプル,triple
トリミング,trimming
ドリンク,drink
ドル,dollar
トレーサビリティー,traceability
トレード,trade
トレーナー,trainer
トレーラー,trailer
トレンド,trend
ドロー,draw
トローチ,trouch
ドロップアウト,dropout
トロピカル,toropical
ドン,Don
ナース,nurse
ナーバス,nervous
ナイーブ,naïve
ナイス,nice
ナイン,nine
ナショナリズム,nationalism
ナショナル,national
ナチュラル,natural
ナッツ,nuts
ナビ（ゲーション）,navugation
ナルシスト,narcist
ナレーション,narration
ナレーター,narrater
ニアミス,near miss
ニート,neat
ニグロ,negro
ニッチ,niche
ニヒリズム,nihilism
ヌード,nude
ネーム,name
ネーミング,naming
ネオ〜,neo
ネグレクト,neglect
ネック,neck
ネット（ワーク）,network
ノイズ,noise
ノウハウ,knowhow
ノーベル賞,Nobel
ノーマライゼーション,normalization
ノーマル,nomal
ノズル,nozzle
ノミネート,nominate
ノルマ,norma
ノンステップバス,nonstep bus
ノンストップ,nonstop
ノンバンク,nonbank
ノンフィクション,nonfiction
バー,bar
パーキング,parking
〜パーク,park
バーゲン,bargain
ハーケンクロイツ,Hakenkreuz
バーコード,bar code
パーシャル,partial
バージョン,version
バースデー,barthday
パーソナル,personal
パーツ,parts
ハート,heart
ハード,hard
ハードディスク,harddisk
パートナー,partner
パートナーシップ,partnership
ハードボイルド,hard boiled
ハードル,hurdle
ハーフ,half
ハーブ,herb
バーベキュー,barbecue
バーボン,bourbon
ハーモニー,harmony
パール,pearl
ハイ〜,high
バイオ〜,bio
ハイオク,high-octane number
パイオニア,pioneer
バイオマス,biomass
バイオレンス,violence
バイキング,Viking
ハイテク,high technology
バイパス,by-pass
ハイブリッド,hybrid
バイプレーヤー,byplayer
〜ハウス,house
パウダー,powder
ハウツー,how-to
バウンド,bound
バキューム,vacuum
バグ,bug
パケット,packet
ハザードマップ,hazard map
バスト,bust
ハズレ,外れ
パスワード,password
ハッカー,hacker
パック,pack
パッケージ,package
バックアップ,backup
バックパッカー,backpacker
バックボーン,backbone
バッシング,bashing
ハッピー,happy
バトル,battle
パニック,panic
パネル,panel
パブ,pub
パフォーマンス,performance
ハプニング,happening
パブリックコメント,public comment
バブル,bubble
パラグライダー,paraglider
パラグラフ,paragraph
パラシュート,parachute
パラダイス,pradise
バリアフリー,barrier-free
バリウム,barium
バリカン,Barriquand
バリケード,barricade
ハリケーン,hurricane
パリジャン,Parisien
パリジェンヌ,Parisienne
バルーン,baloon
バルブ,valve
パレット,palette
バレル,barrel
バロメーター,barometer
パワー,power
パワフル,powerful
ハングリー（精神）,hungry
バンジージャンプ,bungy jump
ハンセン病,Hansen
パンチ,punch
ハンド〜,hand
ハンマー,hammer
ビアガーデン,beer garden
ヒアリング,hearing
ヒーター,(fan) heater
ビーフ,beef
ヒーリング,healing
ヒーロー,hero
ビオトープ,Biotop
ビギナー,beginner
ビキニ,bikini
ビザ,visa
ヒステリー,Hysterie
ヒステリック,hysteric
ヒストグラム,histogram
ヒストリー,history
ピストン,piston
ヒスパニック,Hispanik
ビッグ,big
ピックアップ,pick up
ビッグバン,big bang
ピッチャー,pitcher
ヒット,hit
ヒップ,hip
ビニールハウス,vinyle house
ビネガー,vineager
ビヘイビア,behavior
ピュア,pure
ヒューマニズム,humanism
ヒューマン〜,human
ビュッフェ,buffet
ピリオド,period
ビルトイン,built-in
ヒロイン,heroine
ピンチ,pinch
ピンポイント,pinpoint
ファイナル,final
ファイバー,fiber
ファイブ,five
ファイン,fine
ファジー,fuzzy
ファストフード,fast food
ファッション,fashion
ファンシー,fancy
ファンド,fund
フィードバック,feed back
フィクション,fiction
フィジカル,physical
フィッシング,fishing
フィットネス,fitness
フィナーレ,finale
フィルタリング,filtering
ブーイング,booing
ブース,booth
ブースター,booster
ブーメラン,boomerang
フェア,fair
フェイク／フェーク,fake
フェイント,feint
フェーン現象,Fohn
フェスティバル,festiva
フェスタ,festal
フェミニスト,feminist
フェミニズム,feminism
フェリー,ferry
フェローシップ,fellowship
フェロモン,pheromone
フォー,four
フォークリフト,fork lift
フォーマット,format
フォーマル,formal
フォーメーション,formation
フォーラム,forum
フォト,photo
フォロー,follow
フォローアップ,follow-up
フォント,font
プチ〜,petit
ブックマーク,bookmark
プッシュ,push
ブティック,boutique
フライ,fly ; fry
ブライダル,bridal
プライド,pride
プライバシー,privacy
プライベート,private
プラザ,plaza
ブラジャー,brassier
プラズマ,plasma
プラチナ,platinum
フラッグ,flag
ブラックホール,black hole
フラッシュ,flash
フラッシュメモリ,flash memory
フラット,flat
プラネタリウム,planetarium
フラボノイド,flavonoid
フラワー,flower
ブランチ,brunch
フランチャイズ,franchise
ブランド,brand
フリー；フリー（ダム）,free(dom)
フリーク,freak
フリーザー,freezer
フリーマーケット,flea market
フリーランス,freelance
ブリキ,blik
プリペイドカード,prepaid card
プリミティブ,primitive
フリル,frill
プリンス,prince
プリンセス,princess
フル,full
ブルース,blues
フルーツ,fruits
プルトニウム,plutonium
プレイ／プレー,play
プレーオフ,play off
ブレーカー,breaker
ブレークスルー,breakthrough
フレーズ,phrase
プレート,plate
フレーム,frame
フレームワーク,framework
フレキシブル,flexible
フレグランス,fragrance
ブレザー,blazer
プレス,press
プレゼンス,presence
プレッシャー,pressure
プレミア（ム）,premium
フレンチ,French
ブローカー,broker
フローリング,flooring
プロジェクト,project
プロセス,process
フロック,fluke
ブロック,block
プロテクト,protect
プロテスタント,protestant
プロデュース,produce
プロデューサー,producer
プロトコル,protcol
プロトタイプ,prototype
プロパティ,property
プロモーション,promotion
プロローグ,prologue
フロンティア,frontier
ペイント,paint
ベーカリー,bakery
ベーシック,basic
ペース,pace
ペーパー,paper
ヘクトパスカル,hectopascal
ベクトル,vector
ベスト,best
ペダル,pedal
ペダンチック,pedantic
ベッドイン,bed in
ヘッドセット,headset
ペットボトル,PET bottle
ヘッドライト,headlight
ヘテロ,hetero
ペナント,pennant
ヘビー,heavy
ベランダ,veranda
ヘルス,health
ヘルシー,healthy
ペルソナ,persona
ヘルプ,help
ヘルパー,helper
ヘルペス,herpes
ヘロイン,heroin
ベンチャー,venture
ホ（ッ）チキス,Hotchikiss
ホイッスル,whistle
ホイップ,whip
ポーク,pork
ボーダー,border
ポーター,porter
